pedido_id,cliente_id,produto_id,data,quantidade,valor_total
PED00047,C015,P015,2025-08-11,2,398.0
PED00048,C015,P002,2025-09-09,2,698.0
PED00049,C015,P009,2026-01-16,4,1596.0
PED00050,C016,P011,2026-03-26,3,2670.0
PED00051,C016,P012,2025-11-14,4,5000.0
PED00052,C016,P001,2026-05-27,3,1497.0
PED00053,C016,P004,2025-07-04,2,578.0
PED00054,C016,P009,2025-08-20,1,399.0
PED00055,C017,P013,2025-10-12,1,299.0
PED00056,C017,P012,2026-07-10,3,3750.0
PED00057,C017,P004,2026-02-01,4,1156.0
PED00058,C018,P006,2025-11-10,1,239.0
PED00059,C018,P001,2026-05-30,4,1996.0
PED00060,C018,P015,2025-06-01,2,398.0
PED00061,C018,P007,2025-11-14,4,2396.0
PED00062,C018,P009,2026-03-06,2,798.0
PED00063,C019,P001,2025-08-09,2,998.0
PED00064,C019,P004,2026-07-11,1,289.0
PED00065,C019,P005,2025-12-29,2,858.0
PED00066,C020,P001,2026-03-13,4,1996.0
PED00067,C020,P002,2025-12-13,3,1047.0
PED00068,C020,P006,2026-01-21,4,956.0
PED00069,C020,P009,2026-08-09,2,798.0
PED00070,C021,P013,2026-06-28,2,598.0
PED00071,C021,P011,2025-10-01,3,2670.0
PED00072,C021,P001,2026-04-07,1,499.0
PED00073,C022,P004,2026-06-29,2,578.0
PED00074,C022,P012,2025-06-06,3,3750.0
PED00075,C023,P015,2025-07-28,2,398.0
PED00076,C023,P001,2026-03-20,4,1996.0
PED00077,C023,P007,2025-05-19,1,599.0
PED00078,C023,P008,2026-04-02,3,447.0
PED00079,C024,P005,2026-07-29,3,1287.0
PED00080,C024,P007,2026-01-23,2,1198.0
PED00081,C024,P004,2025-04-30,4,1156.0
PED00082,C024,P009,2025-06-17,1,399.0
PED00083,C025,P006,2025-12-13,1,239.0
PED00084,C025,P015,2026-03-21,2,398.0
PED00085,C026,P011,2026-07-05,4,3560.0
PED00086,C026,P004,2025-08-26,3,867.0
PED00087,C026,P009,2026-04-16,2,798.0
PED00088,C027,P013,2025-07-17,1,299.0
PED00089,C027,P012,2026-06-07,4,5000.0
PED00090,C027,P009,2026-05-25,3,1197.0
PED00091,C028,P007,2025-08-11,4,2396.0
PED00092,C028,P015,2025-05-10,2,398.0
PED00093,C028,P006,2025-12-22,2,478.0
PED00094,C028,P009,2026-06-11,2,798.0
PED00095,C029,P004,2025-12-19,2,578.0
PED00096,C029,P006,2025-09-20,4,956.0
PED00097,C029,P014,2025-11-14,4,1836.0
PED00098,C029,P001,2026-05-16,2,998.0
PED00099,C029,P009,2025-07-30,4,1596.0
PED00100,C030,P006,2026-06-21,2,478.0
PED00101,C030,P001,2025-05-31,3,1497.0
PED00102,C030,P009,2026-02-10,1,399.0
PED00103,C031,P013,2025-06-02,4,1196.0
PED00104,C031,P011,2026-08-08,2,1780.0
PED00105,C031,P001,2025-11-26,3,1497.0
PED00106,C031,P004,2025-10-19,1,289.0
PED00107,C031,P009,2026-06-30,4,1596.0
PED00108,C032,P003,2025-07-29,3,537.0
PED00109,C032,P004,2026-01-07,2,578.0
PED00110,C032,P001,2025-08-08,3,1497.0
PED00111,C032,P013,2026-08-11,4,1196.0
PED00112,C033,P015,2025-12-08,2,398.0
PED00113,C033,P006,2025-11-02,4,956.0
PED00114,C033,P001,2025-06-29,4,1996.0
PED00115,C033,P009,2025-11-03,4,1596.0
PED00116,C034,P001,2025-10-11,1,499.0
PED00117,C034,P005,2025-06-29,4,1716.0
PED00118,C034,P009,2026-01-14,2,798.0
PED00119,C035,P001,2026-06-30,4,1996.0
PED00120,C035,P002,2026-07-19,4,1396.0
PED00121,C035,P015,2025-11-07,2,398.0
PED00122,C036,P012,2025-06-03,4,5000.0
PED00123,C036,P013,2026-06-01,3,897.0
PED00124,C036,P001,2026-04-05,1,499.0
PED00125,C036,P009,2026-06-07,3,1197.0
PED00126,C037,P004,2026-07-25,4,1156.0
PED00127,C037,P001,2025-11-09,2,998.0
PED00128,C037,P013,2025-09-27,3,897.0
PED00129,C037,P009,2026-02-12,4,1596.0
PED00130,C038,P001,2026-05-24,2,998.0
PED00131,C038,P007,2026-04-28,4,2396.0
PED00132,C038,P008,2026-04-22,1,149.0
PED00133,C038,P015,2025-11-18,3,597.0
PED00134,C038,P009,2026-02-01,4,1596.0
PED00135,C039,P014,2026-07-02,4,1836.0
PED00136,C039,P001,2025-07-15,1,499.0
PED00137,C040,P001,2025-07-11,4,1996.0
PED00138,C040,P005,2025-06-12,4,1716.0
PED00139,C040,P009,2025-05-06,1,399.0
PED00140,C041,P012,2025-08-11,3,3750.0
PED00141,C041,P011,2026-06-16,3,2670.0
PED00142,C042,P001,2025-10-17,3,1497.0
PED00143,C042,P003,2026-04-14,1,179.0
PED00144,C042,P004,2026-06-13,1,289.0
PED00145,C042,P013,2026-01-02,2,598.0
PED00146,C042,P009,2026-01-31,1,399.0
PED00147,C043,P015,2026-02-18,2,398.0
PED00148,C043,P001,2025-09-24,1,499.0
PED00149,C043,P006,2026-03-30,1,239.0
PED00150,C043,P009,2025-05-21,4,1596.0
PED00151,C044,P005,2025-10-10,2,858.0
PED00152,C044,P007,2025-07-29,1,599.0
PED00153,C044,P014,2025-12-07,3,1377.0
PED00154,C044,P006,2025-10-20,4,956.0
PED00155,C045,P002,2025-09-20,3,1047.0
PED00156,C045,P015,2025-07-02,3,597.0
PED00157,C045,P009,2026-06-17,4,1596.0
PED00158,C046,P011,2026-06-15,3,2670.0
PED00159,C046,P003,2025-05-16,4,716.0
PED00160,C046,P004,2025-07-31,1,289.0
PED00161,C046,P001,2025-11-08,2,998.0
PED00162,C047,P004,2025-11-09,3,867.0
PED00163,C047,P012,2026-07-05,1,1250.0
PED00164,C047,P013,2025-10-28,3,897.0
PED00165,C047,P009,2026-05-29,1,399.0
PED00166,C048,P007,2025-12-12,3,1797.0
PED00167,C048,P001,2025-08-18,3,1497.0
PED00168,C049,P004,2026-06-24,4,1156.0
PED00169,C049,P006,2026-07-08,3,717.0
PED00170,C049,P005,2025-10-08,2,858.0
PED00171,C049,P007,2026-01-31,3,1797.0
PED00172,C049,P009,2025-08-13,4,1596.0
PED00173,C050,P009,2025-08-18,4,1596.0
PED00174,C050,P006,2026-04-12,3,717.0
PED00175,C051,P004,2026-01-21,3,867.0
PED00176,C051,P013,2026-02-17,3,897.0
PED00177,C051,P012,2025-09-03,1,1250.0
PED00178,C051,P003,2025-11-27,1,179.0
PED00179,C052,P013,2025-09-09,1,299.0
PED00180,C052,P012,2025-05-20,4,5000.0
PED00181,C052,P003,2026-06-24,2,358.0
PED00182,C052,P004,2025-07-07,2,578.0
PED00183,C053,P007,2026-01-13,1,599.0
PED00184,C053,P001,2025-07-19,3,1497.0
PED00185,C053,P006,2026-03-31,2,478.0
PED00186,C053,P008,2026-01-11,4,596.0
PED00187,C053,P009,2026-01-19,2,798.0
PED00188,C054,P004,2026-06-27,3,867.0
PED00189,C054,P006,2025-04-28,2,478.0
PED00190,C055,P015,2026-06-29,1,199.0
PED00191,C055,P009,2025-04-27,3,1197.0
PED00192,C056,P011,2025-06-15,3,2670.0
PED00193,C056,P001,2026-08-06,4,1996.0
PED00194,C056,P009,2026-04-26,1,399.0
PED00195,C057,P012,2025-10-08,2,2500.0
PED00196,C057,P001,2026-08-02,4,1996.0
PED00197,C057,P013,2026-08-17,1,299.0
PED00198,C058,P001,2026-04-27,4,1996.0
PED00199,C058,P015,2025-07-08,2,398.0
PED00200,C059,P001,2025-08-14,1,499.0
PED00201,C059,P007,2025-09-18,4,2396.0
PED00202,C060,P002,2025-08-27,3,1047.0
PED00203,C060,P001,2025-10-21,3,1497.0
PED00204,C060,P015,2025-07-07,1,199.0
PED00205,C060,P005,2026-06-06,2,858.0
PED00206,C061,P012,2025-10-30,3,3750.0
PED00207,C061,P013,2026-07-24,3,897.0
PED00208,C061,P004,2025-10-28,1,289.0
PED00209,C061,P001,2026-07-30,1,499.0
PED00210,C062,P012,2026-07-06,2,2500.0
PED00211,C062,P004,2026-05-23,4,1156.0
PED00212,C062,P009,2025-05-06,2,798.0
PED00213,C063,P008,2026-06-11,2,298.0
PED00214,C063,P007,2025-05-22,1,599.0
PED00215,C063,P006,2026-03-28,3,717.0
PED00216,C064,P014,2026-06-09,1,459.0
PED00217,C064,P007,2025-12-18,2,1198.0
PED00218,C064,P005,2026-02-07,3,1287.0
PED00219,C065,P001,2026-01-26,3,1497.0
PED00220,C065,P015,2025-10-30,4,796.0
PED00221,C065,P009,2025-10-19,2,798.0
PED00222,C065,P002,2026-02-03,4,1396.0
PED00223,C066,P013,2026-03-20,3,897.0
PED00224,C066,P004,2026-08-02,4,1156.0
PED00225,C067,P004,2025-11-18,1,289.0
PED00226,C067,P003,2025-11-21,2,358.0
PED00227,C067,P009,2025-09-17,3,1197.0
PED00228,C068,P008,2025-11-29,2,298.0
PED00229,C068,P006,2026-01-24,1,239.0
PED00230,C068,P007,2025-10-23,3,1797.0
PED00231,C069,P004,2025-06-03,1,289.0
PED00232,C069,P007,2025-12-21,4,2396.0
PED00233,C069,P006,2025-12-13,3,717.0
PED00234,C070,P002,2025-12-25,2,698.0
PED00235,C070,P006,2026-06-25,1,239.0
PED00236,C071,P001,2026-04-07,1,499.0
PED00237,C071,P013,2026-03-12,3,897.0
PED00238,C071,P009,2026-05-28,2,798.0
PED00239,C072,P013,2026-02-22,2,598.0
PED00240,C072,P012,2026-06-07,3,3750.0
PED00241,C072,P004,2025-11-04,1,289.0
PED00242,C072,P001,2026-06-23,3,1497.0
PED00243,C073,P015,2026-03-23,2,398.0
PED00244,C073,P007,2025-09-23,4,2396.0
PED00245,C073,P006,2025-09-15,1,239.0
PED00246,C074,P006,2026-06-02,2,478.0
PED00247,C074,P005,2026-06-01,3,1287.0
PED00248,C074,P007,2025-07-14,2,1198.0
PED00249,C074,P004,2025-05-02,4,1156.0
PED00250,C075,P009,2026-02-12,4,1596.0
PED00251,C075,P002,2026-07-12,2,698.0
PED00252,C075,P001,2025-08-22,4,1996.0
PED00253,C075,P015,2026-01-23,1,199.0
PED00254,C076,P012,2026-07-29,4,5000.0
PED00255,C076,P001,2026-04-30,3,1497.0
PED00256,C076,P003,2026-04-01,1,179.0
PED00257,C077,P003,2026-07-10,1,179.0
PED00258,C077,P013,2026-04-25,2,598.0
PED00259,C078,P006,2026-07-23,3,717.0
PED00260,C078,P015,2026-02-25,3,597.0
PED00261,C078,P007,2025-12-04,3,1797.0
PED00262,C078,P008,2026-03-10,4,596.0
PED00263,C079,P005,2025-06-09,2,858.0
PED00264,C079,P004,2025-11-11,2,578.0
PED00265,C079,P007,2025-07-07,1,599.0
PED00266,C079,P006,2026-03-09,2,478.0
PED00267,C080,P006,2025-06-05,4,956.0
PED00268,C080,P002,2025-10-21,3,1047.0
PED00269,C080,P009,2026-05-26,2,798.0
